"countries","eep_8th_ed","eep_9th_ed","change"
"Netherlands","70.31","70.27","-0.04"
"Sweden","70.72","68.74","-1.98"
"Norway","68.38","67.93","-0.45"
"Denmark","67.34","67.87","+0.53"
"Singapore","68.63","66.82","-1.81"
"South Africa","66.52","65.38","-1.14"
"Finland","65.86","65.34","-0.52"
"Austria","63.13","64.11","+0.98"
"Luxembourg","66.33","64.03","-2.30"
"Germany","63.74","63.77","+0.03"
"Poland","62.45","63.76","+1.31"
"Portugal","60.02","63.14","+3.12"
"Belgium","63.52","63.09","-0.43"
"Croatia","60.16","63.07","+2.91"
"Hungary","59.51","61.86","+2.35"
"Romania","60.31","61.36","+1.05"
"Serbia","60.04","61.30","+1.26"
"Kenya","—","60.51","New"
"Switzerland","61.77","60.23","-1.54"
"Philippines","61.84","60.14","-1.70"
"Lithuania","57.81","60.11","+2.30"
"Greece","58.49","59.87","+1.38"
"Czech Republic","59.99","59.30","-0.69"
"Bulgaria","57.95","58.97","+1.02"
"Slovakia","58.11","58.82","+0.71"
"Malaysia","59.32","58.55","-0.77"
"Argentina","57.58","58.38","+0.80"
"Estonia","63.73*","58.29","-5.44"
"Nigeria","56.72","58.26","+1.54"
"Costa Rica","55.01","57.38","+2.37"
"France","55.49","57.25","+1.76"
"Latvia","57.16*","56.85","-0.31"
"Hong Kong, China","56.38","55.63","-0.75"
"India","57.13","55.49","-1.64"
"Spain","55.85","55.46","-0.39"
"Italy","55.77","55.31","-0.46"
"South Korea","56.27","55.04","-1.23"
"Taiwan, China","51.88","54.18","+2.30"
"Uruguay","53.41","54.08","+0.67"
"China","51.94","53.44","+1.50"
"Macau, China","52.57","53.34","+0.77"
"Chile","52.01","52.89","+0.88"
"Cuba","50.83*","52.70","+1.87"
"Dominican Republic","54.97","52.58","-2.39"
"Paraguay","—","52.51","New"
"Guatemala","50.63","52.50","+1.87"
"Belarus","53.53","52.39","-1.14"
"Russia","52.96","52.14","-0.82"
"Ukraine","52.86","52.13","-0.73"
"Albania","51.49","51.99","+0.50"
"Vietnam","53.12","51.57","-1.55"
"Japan","51.80","51.51","-0.29"
"Pakistan","51.66","51.41","-0.25"
"Bahrain","—","50.92","New"
"Georgia","52.28","50.62","-1.66"
"Honduras","47.80","50.53","+2.73"
"Peru","49.32","50.22","+0.90"
"Brazil","50.93","50.10","-0.83"
"El Salvador","47.42","50.09","+2.67"
"Indonesia","51.58","50.06","-1.52"
"Nicaragua","47.26","49.89","+2.63"
"Ethiopia","50.79","49.64","-1.15"
"Panama","49.98","49.60","-0.38"
"Tunisia","47.85","49.04","+1.19"
"Nepal","—","49.00","New"
"Mexico","49.76","48.99","-0.77"
"Colombia","48.90","48.75","-0.15"
"Iran","48.29","48.69","+0.40"
"UAE","47.27","48.19","+0.92"
"Bangladesh","48.72","48.11","-0.61"
"Maldives","—","48.02","New"
"Venezuela","46.61","47.81","+1.20"
"Thailand","48.54","47.61","-0.93"
"Jordan","47.10","47.21","+0.11"
"Morocco","48.10","47.19","-0.91"
"Egypt","48.76","47.11","-1.65"
"Sri Lanka","49.39","47.10","-2.29"
"Turkey","47.17","46.81","-0.36"
"Qatar","48.19*","46.79","-1.40"
"Ecuador","48.52","46.57","-1.95"
"Syria","46.37","46.36","-0.01"
"Cameroon","42.45*","46.28","+3.83"
"Kuwait","45.64","46.22","+0.58"
"Azerbaijan","45.85","46.13","+0.28"
"Myanmar","44.23","46.00","+1.77"
"Sudan","—","45.94","New"
"Mongolia","44.21*","45.56","+1.35"
"Afghanistan","43.64","45.36","+1.72"
"Algeria","44.50","45.28","+0.78"
"Angola","43.49*","44.54","+1.05"
"Oman","45.56","44.39","-1.17"
"Kazakhstan","45.19","43.83","-1.36"
"Cambodia","42.86","43.78","+0.92"
"Uzbekistan","42.53","43.18","+0.65"
"Ivory Coast","—","42.41","New"
"Iraq","40.82","42.39","+1.57"
"Saudi Arabia","43.65","41.60","-2.05"
"Kyrgyzstan","—","41.51","New"
"Libya","39.64","40.87","+1.23"
